,Date,Close,Open,High,Low,Volume,Returns
0,2014-01-02,2412.19,2394.0,2427.5,2394.0,276870.0,2.97
1,2014-01-03,2398.4,2397.0,2406.0,2385.5,237000.0,-0.57
2,2014-01-06,2392.8,2390.0,2402.0,2388.0,221570.0,-0.23
3,2014-01-07,2387.36,2390.0,2393.0,2371.5,334620.0,-0.23
4,2014-01-08,2404.01,2392.0,2413.0,2382.5,244230.0,0.7
5,2014-01-09,2411.16,2409.5,2418.0,2404.0,227480.0,0.3
6,2014-01-10,2381.49,2401.5,2411.0,2370.5,318160.0,-1.23
7,2014-01-13,2372.11,2376.0,2376.0,2351.5,311810.0,-0.39
8,2014-01-14,2366.08,2375.0,2380.0,2360.0,251740.0,-0.25
9,2014-01-15,2359.93,2365.0,2371.5,2352.0,319040.0,-0.26
10,2014-01-16,2372.95,2355.0,2387.0,2355.0,357630.0,0.55
11,2014-01-17,2357.36,2370.5,2374.5,2350.0,273480.0,-0.66
12,2014-01-20,2346.59,2348.5,2352.0,2336.5,147590.0,-0.46
13,2014-01-21,2371.38,2355.0,2375.5,2354.5,324440.0,1.06
14,2014-01-22,2379.35,2369.0,2383.5,2360.5,379910.0,0.34
15,2014-01-23,2401.39,2387.0,2411.0,2375.5,464390.0,0.93
16,2014-01-24,2409.91,2426.5,2437.5,2399.0,449990.0,0.35
17,2014-01-27,2422.8,2405.0,2433.0,2394.5,412610.0,0.53
18,2014-01-28,2429.54,2411.0,2432.5,2407.0,313560.0,0.28
19,2014-01-29,2437.61,2428.0,2453.0,2427.5,421870.0,0.33
20,2014-01-30,2413.08,2443.0,2445.5,2410.0,362800.0,-1.01
21,2014-01-31,2426.3,2411.0,2435.0,2403.5,22760.0,0.55
22,2014-02-03,2450.4,2430.0,2458.5,2418.0,362110.0,0.99
23,2014-02-04,2426.39,2448.0,2455.5,2422.0,322020.0,-0.98
24,2014-02-05,2414.55,2425.0,2436.0,2408.5,345460.0,-0.49
25,2014-02-06,2400.69,2416.5,2429.0,2392.0,411440.0,-0.57
26,2014-02-07,2395.39,2397.5,2408.0,2383.5,320810.0,-0.22
27,2014-02-10,2411.98,2399.5,2424.0,2396.5,262310.0,0.69
28,2014-02-11,2416.88,2412.0,2430.5,2408.5,344740.0,0.2
29,2014-02-12,2433.82,2411.0,2438.0,2409.5,330760.0,0.7
30,2014-02-13,2414.2,2445.0,2446.0,2403.0,324740.0,-0.81
31,2014-02-14,2394.39,2405.0,2408.5,2390.0,312550.0,-0.82
32,2014-02-17,2393.22,2399.5,2401.5,2389.0,129720.0,-0.05
33,2014-02-18,2398.89,2402.0,2409.5,2395.0,292100.0,0.24
34,2014-02-19,2393.92,2415.0,2419.5,2392.0,343090.0,-0.21
35,2014-02-20,2380.37,2400.5,2401.0,2370.0,414690.0,-0.57
36,2014-02-21,2360.08,2375.0,2383.0,2350.0,363530.0,-0.85
37,2014-02-24,2343.13,2351.0,2357.5,2333.5,342210.0,-0.72
38,2014-02-25,2337.43,2342.0,2348.0,2332.5,348720.0,-0.24
39,2014-02-26,2353.3,2344.0,2359.5,2336.0,401600.0,0.68
40,2014-02-27,2323.14,2357.0,2358.0,2319.5,472100.0,-1.28
41,2014-02-28,2333.4,2324.0,2335.0,2311.5,19600.0,0.44
42,2014-03-05,2337.04,2358.0,2359.0,2332.0,170080.0,0.16
43,2014-03-06,2334.01,2328.0,2340.0,2317.5,325530.0,-0.13
44,2014-03-07,2360.75,2337.5,2365.0,2336.0,316720.0,1.15
45,2014-03-10,2368.79,2356.0,2371.0,2341.5,315560.0,0.34
46,2014-03-11,2378.91,2369.5,2382.5,2353.0,329310.0,0.43
47,2014-03-12,2373.07,2384.0,2387.0,2368.0,286360.0,-0.25
48,2014-03-13,2377.03,2359.5,2379.0,2350.5,306780.0,0.17
49,2014-03-14,2364.18,2371.0,2387.0,2356.5,331080.0,-0.54
50,2014-03-17,2358.85,2355.0,2366.0,2352.0,213630.0,-0.23
51,2014-03-18,2348.22,2357.0,2368.5,2342.5,315490.0,-0.45
52,2014-03-19,2354.32,2344.0,2361.5,2333.0,359030.0,0.26
53,2014-03-20,2333.46,2357.5,2364.5,2328.0,392520.0,-0.89
54,2014-03-21,2329.64,2339.0,2339.0,2323.5,281090.0,-0.16
55,2014-03-24,2326.26,2326.26,2326.26,2326.26,273250.0,-0.15
56,2014-03-25,2309.0,2337.0,2337.0,2303.0,489990.0,-0.74
57,2014-03-26,2314.43,2308.0,2323.0,2296.0,423120.0,0.24
58,2014-03-27,2264.16,2302.5,2310.5,2260.5,515090.00000000006,-2.17
59,2014-03-28,2264.8,2256.5,2271.5,2251.5,424760.0,0.03
60,2014-03-31,2263.0,2271.0,2275.5,2258.0,36880.0,-0.08
61,2014-04-01,2281.77,2290.0,2293.0,2271.5,338520.0,0.83
62,2014-04-02,2287.56,2280.5,2293.5,2277.0,296110.0,0.25
63,2014-04-03,2298.71,2291.0,2304.0,2289.0,316900.0,0.49
64,2014-04-04,2257.07,2286.0,2289.0,2249.5,428440.0,-1.81
65,2014-04-07,2227.78,2256.0,2262.5,2225.5,332040.0,-1.3
66,2014-04-08,2219.34,2218.0,2223.0,2206.0,479220.0,-0.38
67,2014-04-09,2211.21,2213.0,2231.5,2199.0,426500.0,-0.37
68,2014-04-10,2200.88,2197.0,2219.5,2194.0,361220.0,-0.47
69,2014-04-11,2227.18,2224.5,2234.0,2210.0,360410.0,1.19
70,2014-04-14,2224.85,2233.0,2233.5,2215.5,216370.0,-0.1
71,2014-04-15,2245.6,2226.5,2249.5,2221.0,385400.0,0.93
72,2014-04-16,2249.08,2233.5,2254.0,2231.5,316340.0,0.15
73,2014-04-17,2248.63,2244.0,2263.0,2239.5,297030.0,-0.02
74,2014-04-22,2246.26,2244.0,2256.0,2241.5,280160.0,-0.11
75,2014-04-23,2231.13,2250.5,2253.5,2226.0,311490.0,-0.67
76,2014-04-24,2223.08,2222.0,2233.0,2217.0,295560.0,-0.36
77,2014-04-25,2245.42,2232.0,2250.0,2228.0,333050.0,1.0
78,2014-04-28,2226.76,2247.5,2248.0,2224.0,338800.0,-0.83
79,2014-04-29,2230.41,2219.5,2238.0,2209.5,369540.0,0.16
80,2014-04-30,2236.0,2237.0,2244.0,2231.0,20280.0,0.25
81,2014-05-02,2240.44,2248.0,2263.0,2233.0,321110.0,0.2
82,2014-05-05,2261.13,2250.0,2267.0,2239.5,242060.0,0.92
83,2014-05-06,2242.87,2255.0,2258.0,2240.5,239650.0,-0.81
84,2014-05-07,2234.81,2244.5,2251.0,2231.0,288990.0,-0.36
85,2014-05-08,2223.89,2228.0,2233.0,2214.5,331080.0,-0.49
86,2014-05-09,2232.73,2234.0,2237.5,2224.0,251910.0,0.4
87,2014-05-12,2231.96,2226.0,2233.5,2221.5,191790.0,-0.03
88,2014-05-13,2223.29,2224.5,2231.0,2217.0,311130.0,-0.39
89,2014-05-14,2218.18,2227.5,2231.0,2211.5,239180.0,-0.23
90,2014-05-15,2229.61,2216.5,2238.0,2215.5,355960.0,0.52
91,2014-05-16,2222.27,2228.0,2228.5,2217.0,251820.0,-0.33
92,2014-05-19,2216.63,2223.0,2226.0,2212.0,178390.0,-0.25
93,2014-05-20,2224.87,2222.0,2228.0,2216.5,275950.0,0.37
94,2014-05-21,2215.77,2222.0,2223.5,2213.5,251690.0,-0.41
95,2014-05-22,2222.88,2216.0,2225.0,2206.0,283370.0,0.32
96,2014-05-23,2226.73,2221.5,2230.0,2217.0,234160.0,0.17
97,2014-05-26,2228.41,2225.0,2231.0,2222.5,90930.0,0.08
98,2014-05-27,2242.36,2231.5,2247.5,2231.0,287970.0,0.63
99,2014-05-28,2237.99,2246.5,2250.0,2234.0,312650.0,-0.19
100,2014-05-29,2224.71,2233.0,2236.0,2217.5,299030.0,-0.59
101,2014-05-30,2239.0,2227.0,2243.0,2225.0,21210.0,0.64
102,2014-06-02,2286.14,2260.0,2295.0,2259.0,340610.0,2.11
103,2014-06-03,2296.45,2277.0,2299.5,2273.5,291180.0,0.45
104,2014-06-04,2297.57,2295.5,2307.0,2284.0,330920.0,0.05
105,2014-06-05,2280.94,2286.0,2295.0,2274.5,371510.0,-0.72
106,2014-06-06,2262.06,2271.0,2272.5,2253.0,341140.0,-0.83
107,2014-06-09,2240.51,2251.5,2256.0,2236.5,300950.0,-0.95
108,2014-06-10,2238.07,2243.5,2247.0,2234.0,256430.0,-0.11
109,2014-06-11,2246.94,2235.0,2248.0,2235.0,264660.0,0.4
110,2014-06-13,2238.97,2246.5,2250.5,2232.5,240140.0,-0.35
111,2014-06-16,2243.18,2237.0,2247.0,2234.5,193880.0,0.19
112,2014-06-17,2269.06,2241.0,2271.5,2239.0,236580.0,1.15
113,2014-06-18,2240.13,2264.5,2267.5,2233.5,366360.0,-1.27
114,2014-06-20,2236.73,2240.0,2247.5,2234.5,228680.0,-0.15
115,2014-06-23,2221.88,2231.0,2232.5,2220.5,202000.0,-0.66
116,2014-06-24,2227.71,2220.5,2230.5,2219.0,290750.0,0.26
117,2014-06-25,2210.34,2212.5,2216.0,2202.5,342680.0,-0.78
118,2014-06-26,2206.91,2208.5,2215.5,2194.5,392040.0,-0.16
119,2014-06-27,2201.5,2194.0,2208.5,2189.0,300030.0,-0.25
120,2014-07-01,2220.99,2235.0,2239.5,2218.5,281120.0,0.89
121,2014-07-02,2240.06,2220.0,2244.0,2220.0,308430.0,0.86
122,2014-07-03,2229.09,2240.0,2262.5,2227.0,310030.0,-0.49
123,2014-07-04,2230.05,2229.0,2233.0,2228.5,36060.0,0.04
124,2014-07-07,2237.72,2233.5,2242.5,2227.0,177080.0,0.34
125,2014-07-08,2229.96,2239.0,2240.0,2225.5,167160.0,-0.35
126,2014-07-10,2232.25,2231.5,2240.0,2229.0,278850.0,0.1
127,2014-07-11,2233.92,2235.0,2239.0,2230.0,210860.0,0.07
128,2014-07-14,2224.39,2230.5,2233.5,2221.0,194900.0,-0.43
129,2014-07-15,2228.68,2223.0,2237.0,2220.0,292090.0,0.19
130,2014-07-16,2234.68,2231.5,2238.0,2222.5,255000.0,0.27
131,2014-07-17,2255.29,2239.5,2269.5,2236.0,384360.0,0.92
132,2014-07-18,2237.02,2250.0,2252.5,2233.5,291520.0,-0.81
133,2014-07-21,2229.88,2234.5,2238.0,2226.0,182060.0,-0.32
134,2014-07-22,2217.55,2229.5,2230.0,2214.0,257900.0,-0.55
135,2014-07-23,2226.44,2224.5,2228.5,2220.0,212070.0,0.4
136,2014-07-24,2225.76,2220.5,2227.5,2218.5,195040.0,-0.03
137,2014-07-25,2231.82,2234.0,2236.0,2228.5,241740.0,0.27
138,2014-07-28,2225.87,2232.5,2237.5,2225.0,225440.0,-0.27
139,2014-07-29,2232.57,2227.5,2234.5,2226.5,237540.0,0.3
140,2014-07-30,2250.6,2237.5,2261.5,2234.0,476560.0,0.81
141,2014-08-01,2278.03,2291.5,2300.5,2269.0,448580.0,1.22
142,2014-08-04,2276.59,2276.0,2283.5,2266.0,269720.0,-0.06
143,2014-08-05,2302.53,2280.0,2304.0,2279.0,385580.0,1.14
144,2014-08-06,2292.45,2307.0,2312.5,2287.0,348740.0,-0.44
145,2014-08-07,2308.5,2292.5,2315.0,2288.5,352740.0,0.7
146,2014-08-08,2297.34,2305.0,2322.5,2296.5,440790.0,-0.48
147,2014-08-11,2290.9,2287.5,2296.0,2284.0,231060.0,-0.28
148,2014-08-12,2286.7,2294.0,2297.5,2284.5,258270.0,-0.18
149,2014-08-13,2293.18,2284.5,2302.5,2273.5,437390.0,0.28
150,2014-08-14,2282.58,2290.0,2293.0,2276.0,267410.0,-0.46
151,2014-08-15,2272.88,2274.0,2287.5,2268.0,323560.0,-0.42
152,2014-08-18,2268.16,2263.0,2273.0,2262.0,207060.0,-0.21
153,2014-08-19,2257.86,2268.0,2274.0,2254.5,273980.0,-0.45
154,2014-08-20,2264.69,2260.5,2271.5,2257.5,281950.0,0.3
155,2014-08-21,2267.77,2265.0,2276.0,2259.0,321330.0,0.14
156,2014-08-22,2284.34,2278.0,2289.5,2276.0,361310.0,0.73
157,2014-08-25,2290.46,2282.0,2295.5,2279.5,264780.0,0.27
158,2014-08-26,2268.57,2287.5,2291.5,2264.5,342820.0,-0.96
159,2014-08-27,2263.59,2257.0,2268.5,2245.0,374290.0,-0.22
160,2014-08-28,2240.79,2255.5,2260.5,2238.0,401290.0,-1.01
161,2014-08-29,2239.6,2240.0,2246.0,2235.5,16870.0,-0.05
162,2014-09-01,2261.33,2249.5,2266.0,2248.5,191710.0,0.97
163,2014-09-02,2262.55,2271.0,2274.0,2255.5,326340.0,0.05
164,2014-09-03,2248.19,2254.0,2255.5,2243.0,311520.0,-0.63
165,2014-09-04,2257.1,2260.0,2262.5,2242.5,330880.0,0.4
166,2014-09-05,2258.7,2260.5,2264.5,2247.0,332870.0,0.07
167,2014-09-08,2280.07,2258.0,2287.0,2256.0,321490.0,0.95
168,2014-09-09,2299.43,2291.0,2305.0,2286.0,418670.0,0.85
169,2014-09-10,2308.01,2303.0,2313.5,2298.5,415080.0,0.37
170,2014-09-11,2300.68,2307.5,2311.5,2294.0,411660.0,-0.32
171,2014-09-12,2349.95,2312.5,2358.0,2310.5,636800.0,2.14
172,2014-09-15,2350.03,2356.5,2361.0,2340.0,316680.0,0.0
173,2014-09-16,2335.1,2350.5,2353.0,2328.0,413330.0,-0.64
174,2014-09-17,2354.92,2343.0,2372.5,2335.0,476480.0,0.85
175,2014-09-18,2372.93,2364.0,2385.0,2363.0,392290.0,0.76
176,2014-09-19,2387.04,2372.5,2392.5,2358.0,432370.0,0.59
177,2014-09-22,2401.29,2390.0,2404.5,2387.5,354000.0,0.6
178,2014-09-23,2416.73,2396.0,2419.5,2392.5,419300.0,0.64
179,2014-09-24,2396.73,2405.0,2422.0,2384.5,371590.0,-0.83
180,2014-09-25,2427.17,2399.5,2436.0,2398.5,448450.0,1.27
181,2014-09-26,2416.73,2427.0,2446.0,2411.0,445610.0,-0.43
182,2014-09-29,2453.9,2465.0,2480.0,2444.0,447590.0,1.54
183,2014-09-30,2451.0,2453.5,2462.0,2446.5,10140.0,-0.12
184,2014-10-01,2506.06,2484.0,2510.0,2470.5,378520.0,2.25
185,2014-10-02,2500.04,2497.0,2518.0,2490.0,403830.0,-0.24
186,2014-10-03,2493.97,2520.0,2527.0,2476.5,503210.0,-0.24
